month,company,cash_musd,rigs_active,rigs_warm,rigs_cold
1,PlayerCo,56.11,1,1,0
1,Stack&Pray Drilling,44.71,2,0,0
1,Bluewater Titans,84.37,0,1,1
2,PlayerCo,60.07,2,0,0
2,Stack&Pray Drilling,49.42,2,0,0
2,Bluewater Titans,85.42,1,1,0
3,PlayerCo,64.03,2,0,0
3,Stack&Pray Drilling,54.13,2,0,0
3,Bluewater Titans,86.47,1,1,0
4,PlayerCo,67.99,2,0,0
4,Stack&Pray Drilling,58.84,2,0,0
4,Bluewater Titans,87.52,1,1,0
5,PlayerCo,71.95,2,0,0
5,Stack&Pray Drilling,63.55,2,0,0
5,Bluewater Titans,88.57,1,1,0
6,PlayerCo,75.91,1,1,0
6,Stack&Pray Drilling,68.26,2,0,0
6,Bluewater Titans,89.62,1,1,0
7,PlayerCo,77.86,0,2,0
7,Stack&Pray Drilling,72.97,2,0,0
7,Bluewater Titans,90.67,1,1,0
8,PlayerCo,82.57,2,0,0
8,Stack&Pray Drilling,77.68,2,0,0
8,Bluewater Titans,91.72,1,1,0
9,PlayerCo,87.28,2,0,0
9,Stack&Pray Drilling,82.39,2,0,0
9,Bluewater Titans,92.77,1,1,0
10,PlayerCo,91.99,2,0,0
10,Stack&Pray Drilling,87.1,2,0,0
10,Bluewater Titans,93.82,1,1,0
11,PlayerCo,96.7,2,0,0
11,Stack&Pray Drilling,91.81,2,0,0
11,Bluewater Titans,94.87,1,1,0
12,PlayerCo,101.41,2,0,0
12,Stack&Pray Drilling,96.52,1,1,0
12,Bluewater Titans,95.92,1,1,0
13,PlayerCo,106.12,2,0,0
13,Stack&Pray Drilling,102.55,2,0,0
13,Bluewater Titans,96.97,1,1,0
14,PlayerCo,110.83,2,0,0
14,Stack&Pray Drilling,108.58,2,0,0
14,Bluewater Titans,98.02,1,1,0
15,PlayerCo,115.54,2,0,0
15,Stack&Pray Drilling,114.61,2,0,0
15,Bluewater Titans,99.07,1,1,0
16,PlayerCo,120.25,2,0,0
16,Stack&Pray Drilling,120.64,2,0,0
16,Bluewater Titans,100.12,1,1,0
17,PlayerCo,124.96,2,0,0
17,Stack&Pray Drilling,126.67,2,0,0
17,Bluewater Titans,101.17,1,1,0
18,PlayerCo,129.67,2,0,0
18,Stack&Pray Drilling,132.7,2,0,0
18,Bluewater Titans,102.22,1,1,0
19,PlayerCo,134.38,1,1,0
19,Stack&Pray Drilling,138.73,2,0,0
19,Bluewater Titans,103.27,1,1,0
20,PlayerCo,138.28,2,0,0
20,Stack&Pray Drilling,144.76,2,0,0
20,Bluewater Titans,104.32,1,1,0
21,PlayerCo,142.18,2,0,0
21,Stack&Pray Drilling,150.79,1,1,0
21,Bluewater Titans,105.37,1,1,0
22,PlayerCo,146.08,2,0,0
22,Stack&Pray Drilling,154.51,2,0,0
22,Bluewater Titans,106.42,1,1,0
23,PlayerCo,149.98,2,0,0
23,Stack&Pray Drilling,158.23,2,0,0
23,Bluewater Titans,107.47,1,1,0
24,PlayerCo,153.88,2,0,0
24,Stack&Pray Drilling,161.95,1,1,0
24,Bluewater Titans,108.52,1,1,0
25,PlayerCo,157.78,1,1,0
25,Stack&Pray Drilling,165.79,2,0,0
25,Bluewater Titans,109.57,0,2,0
26,PlayerCo,161.29,2,0,0
26,Stack&Pray Drilling,169.63,2,0,0
26,Bluewater Titans,108.67,0,2,0
27,PlayerCo,164.8,2,0,0
27,Stack&Pray Drilling,173.47,2,0,0
27,Bluewater Titans,110.17,1,1,0
28,PlayerCo,168.31,2,0,0
28,Stack&Pray Drilling,177.31,2,0,0
28,Bluewater Titans,111.67,1,1,0
29,PlayerCo,171.82,2,0,0
29,Stack&Pray Drilling,181.15,2,0,0
29,Bluewater Titans,113.17,1,1,0
30,PlayerCo,175.33,2,0,0
30,Stack&Pray Drilling,184.99,1,1,0
30,Bluewater Titans,114.67,1,1,0
31,PlayerCo,178.84,0,2,0
