month,oil_price,demand_ns,demand_gom
1,68.72,1.16,1.7
2,71.38,1.24,1.82
3,80.74,1.52,2.23
4,82.73,1.58,2.32
5,87.43,1.72,2.53
6,80.33,1.51,2.21
7,83.87,1.62,2.37
8,81.05,1.53,2.25
9,73.47,1.16,1.7
10,71.71,1.24,1.82
11,78.12,1.52,2.23
12,75.29,1.58,2.32
13,84.75,1.72,2.53
14,82.23,1.51,2.21
15,76.79,1.62,2.37
16,77.1,1.53,2.25
17,74.0,1.3,1.91
18,72.89,1.25,1.84
19,66.69,1.44,2.12
20,65.74,1.36,1.99
21,58.26,1.64,2.41
22,56.01,1.57,2.3
23,59.47,1.4,2.06
24,72.43,1.41,2.07
25,71.9,1.32,1.94
26,74.36,1.29,1.89
27,81.59,1.1,1.61
28,82.77,1.07,1.57
29,76.55,0.85,1.24
30,83.92,0.78,1.14
31,79.97,0.88,1.3
32,79.91,1.27,1.87
33,74.84,1.26,1.84
34,71.86,1.33,1.95
35,67.79,1.55,2.27
36,71.8,1.58,2.32
37,68.09,1.4,2.05
38,74.57,1.62,2.37
39,79.14,1.5,2.2
40,78.22,1.5,2.2
41,78.91,1.35,1.97
42,76.05,1.26,1.84
43,86.47,1.13,1.66
44,88.61,1.25,1.84
45,89.21,1.14,1.68
46,90.19,1.34,1.96
47,97.48,1.47,2.16
48,101.13,1.45,2.12
49,97.3,1.47,2.15
50,94.66,1.38,2.03
51,97.75,1.69,2.48
52,96.48,1.76,2.58
53,98.94,1.78,2.61
54,93.14,1.81,2.65
55,83.86,2.02,2.97
56,92.78,2.13,3.13
57,84.65,2.02,2.96
58,94.15,1.94,2.85
59,89.92,2.03,2.98
60,90.18,1.99,2.92
61,93.48,2.07,3.03
62,87.23,1.89,2.78
63,83.98,1.62,2.37
64,84.88,1.88,2.76
65,82.87,1.64,2.4
66,82.33,1.92,2.82
67,78.65,1.8,2.64
68,84.24,1.81,2.65
69,78.53,1.9,2.79
70,75.24,1.72,2.52
71,79.72,1.62,2.37
72,92.21,1.65,2.41
73,90.61,1.59,2.33
74,87.4,1.57,2.3
75,84.22,1.46,2.14
76,89.86,1.63,2.39
77,86.54,1.46,2.14
78,85.77,1.36,1.99
79,86.6,1.49,2.19
80,87.87,1.87,2.74
81,91.68,1.82,2.67
82,99.44,1.72,2.53
83,94.41,1.63,2.39
84,84.74,1.8,2.63
85,91.62,1.7,2.49
86,92.42,1.67,2.45
87,97.18,1.7,2.49
88,93.63,1.74,2.55
89,89.16,1.85,2.71
90,91.25,2.08,3.06
91,78.83,1.93,2.83
92,87.67,1.64,2.41
93,84.68,1.85,2.71
94,81.87,1.87,2.75
95,74.3,2.02,2.96
96,79.26,1.91,2.8
97,79.63,1.77,2.6
98,76.28,1.84,2.7
99,76.36,1.46,2.15
100,73.16,1.73,2.54
101,73.18,1.64,2.41
102,75.65,1.56,2.28
103,64.58,1.33,1.95
104,66.04,1.48,2.17
105,73.55,1.49,2.18
106,72.13,1.39,2.04
107,73.69,1.39,2.04
108,80.6,1.29,1.9
109,66.64,1.3,1.9
110,58.13,1.37,2.01
111,53.65,1.04,1.52
112,49.28,1.08,1.59
113,53.81,1.31,1.92
114,54.25,1.26,1.85
115,61.7,1.31,1.92
116,71.76,1.52,2.23
117,73.06,1.1,1.61
118,67.45,0.84,1.24
119,67.92,0.71,1.04
120,79.39,0.6,0.88
121,75.68,0.71,1.05
122,73.43,0.73,1.07
123,63.52,0.95,1.39
124,64.84,1.25,1.84
125,66.06,1.29,1.89
126,65.05,1.12,1.65
127,71.58,1.14,1.67
128,74.71,1.48,2.17
129,80.76,1.37,2.01
130,80.93,1.3,1.91
131,80.95,1.01,1.47
132,79.95,1.05,1.53
133,79.37,1.08,1.59
134,75.53,1.05,1.54
135,82.66,1.25,1.83
136,83.43,1.34,1.97
137,84.49,1.52,2.23
138,87.09,1.53,2.24
139,87.53,1.53,2.24
140,83.97,1.5,2.2
141,85.35,1.48,2.17
142,86.16,1.37,2.0
143,83.13,1.58,2.32
144,84.55,1.6,2.35
145,79.15,1.63,2.4
146,79.26,1.71,2.51
147,86.02,1.73,2.53
148,84.24,1.62,2.37
149,79.42,1.66,2.44
150,83.54,1.68,2.47
151,78.6,1.59,2.34
152,75.31,1.64,2.4
153,71.66,1.47,2.16
154,71.43,1.48,2.17
155,65.38,1.68,2.47
156,65.06,1.63,2.39
157,62.7,1.48,2.17
158,60.69,1.61,2.36
159,59.15,1.46,2.14
160,59.08,1.36,1.99
161,62.48,1.25,1.83
162,67.0,1.24,1.82
163,65.39,1.06,1.56
164,70.37,1.05,1.54
165,73.47,0.98,1.44
166,68.55,0.92,1.35
167,61.04,0.87,1.28
168,65.31,0.87,1.28
169,68.43,0.97,1.43
170,79.3,1.11,1.63
171,78.56,1.06,1.56
172,79.62,1.21,1.78
173,81.96,1.3,1.91
174,83.73,1.16,1.7
175,84.94,0.93,1.37
176,89.56,1.06,1.55
177,85.17,1.15,1.69
178,80.21,1.48,2.17
179,82.77,1.46,2.14
180,77.14,1.49,2.18
181,71.31,1.56,2.29
182,70.65,1.61,2.36
183,65.99,1.65,2.42
184,64.32,1.79,2.62
185,52.16,1.66,2.43
186,49.98,1.51,2.21
187,45.88,1.58,2.32
188,53.66,1.41,2.07
189,70.9,1.24,1.82
190,73.32,1.22,1.79
191,70.31,1.08,1.58
192,75.18,1.03,1.51
193,80.77,0.66,0.98
194,73.71,0.6,0.88
195,79.91,0.6,0.88
196,73.29,0.71,1.04
197,72.1,1.23,1.8
198,65.67,1.3,1.91
199,64.72,1.21,1.77
200,52.36,1.36,1.99
201,56.18,1.52,2.23
202,42.64,1.31,1.92
203,41.1,1.5,2.2
204,37.75,1.3,1.9
205,44.83,1.26,1.85
206,51.19,1.07,1.57
207,43.23,1.04,1.53
208,51.38,0.67,0.98
209,53.25,0.79,1.15
210,54.82,0.6,0.88
211,60.8,0.6,0.88
212,68.16,0.6,0.88
213,61.41,0.6,0.88
214,58.59,0.64,0.93
215,67.58,0.6,0.88
216,57.11,0.64,0.94
217,54.56,0.7,1.02
218,50.65,0.74,1.09
219,53.54,0.92,1.36
220,53.99,1.14,1.68
221,62.83,0.94,1.38
222,59.49,0.86,1.26
223,64.88,1.13,1.65
224,57.27,0.81,1.19
225,60.93,0.74,1.08
226,61.75,0.62,0.91
227,61.89,0.71,1.04
228,67.88,0.72,1.06
229,63.11,0.98,1.44
230,68.0,0.88,1.3
231,72.32,1.05,1.53
232,68.71,0.82,1.2
233,67.42,0.93,1.36
234,62.06,0.95,1.4
235,57.48,0.96,1.4
236,58.12,1.14,1.67
237,54.06,0.99,1.46
238,54.28,1.14,1.67
239,61.2,1.27,1.86
240,58.9,1.16,1.7
241,57.66,1.12,1.65
242,50.96,0.96,1.41
243,60.64,0.82,1.21
244,69.26,0.84,1.24
245,73.81,0.72,1.06
246,72.57,0.73,1.07
247,70.11,0.94,1.37
248,69.92,0.87,1.27
249,67.49,0.83,1.22
250,67.13,0.63,0.92
251,76.96,0.92,1.35
252,61.49,1.18,1.73
253,66.97,1.31,1.93
254,65.32,1.28,1.87
255,57.93,1.2,1.77
256,48.06,1.2,1.76
257,54.52,1.12,1.65
258,51.2,1.11,1.63
259,48.31,1.41,2.07
260,53.51,0.94,1.39
261,53.25,1.11,1.63
262,58.68,1.06,1.55
263,47.77,0.84,1.23
264,53.88,0.6,0.88
265,63.23,0.74,1.08
266,73.14,0.64,0.93
267,75.82,0.6,0.88
268,70.29,0.71,1.03
269,61.94,0.7,1.02
270,54.7,0.86,1.26
271,50.79,0.6,0.88
272,44.09,0.72,1.05
273,47.76,1.0,1.46
274,47.95,1.29,1.9
275,39.94,1.37,2.02
276,42.22,1.21,1.77
277,47.98,0.96,1.41
278,47.3,0.74,1.09
279,55.73,0.62,0.91
280,55.92,0.6,0.88
281,58.52,0.6,0.88
282,55.77,0.6,0.88
283,52.18,0.6,0.88
284,51.18,0.6,0.88
285,52.51,0.6,0.88
286,41.74,0.6,0.88
287,42.92,0.77,1.13
288,45.67,0.78,1.14
289,48.85,0.86,1.25
290,42.59,0.77,1.13
291,37.41,0.67,0.98
292,32.67,0.64,0.93
293,29.61,0.68,0.99
294,37.22,0.6,0.88
295,41.38,0.6,0.88
296,44.04,0.6,0.88
297,42.82,0.6,0.88
298,42.06,0.6,0.88
299,41.23,0.6,0.88
300,37.91,0.6,0.88
301,37.72,0.6,0.88
302,48.31,0.6,0.88
303,57.08,0.6,0.88
304,54.04,0.6,0.88
305,56.88,0.6,0.88
306,60.47,0.6,0.88
307,57.89,0.6,0.88
308,55.44,0.6,0.88
309,53.58,0.6,0.88
310,47.19,0.6,0.88
311,47.77,0.81,1.19
312,42.43,0.72,1.06
313,42.7,0.81,1.18
314,41.35,0.91,1.34
315,42.51,0.84,1.23
316,48.5,0.76,1.12
317,51.0,0.71,1.04
318,42.76,0.6,0.88
319,47.02,0.6,0.88
320,50.25,0.6,0.88
321,42.5,0.6,0.88
322,40.81,0.6,0.88
323,46.46,0.6,0.88
324,50.69,0.6,0.88
325,44.3,0.63,0.92
326,53.14,0.6,0.88
327,59.2,0.6,0.88
328,58.18,0.61,0.89
329,55.3,0.6,0.88
330,59.01,0.6,0.88
331,50.79,0.6,0.88
332,47.22,0.62,0.91
333,52.63,0.6,0.88
334,50.22,0.69,1.02
335,41.16,0.88,1.28
336,50.03,0.85,1.24
337,49.45,0.76,1.11
338,52.66,0.87,1.28
339,51.42,0.62,0.91
340,45.87,0.6,0.88
341,47.19,0.68,1.0
342,45.07,0.61,0.89
343,49.85,0.6,0.88
344,50.93,0.6,0.88
345,56.77,0.6,0.88
346,63.11,0.68,1.0
347,65.77,0.64,0.94
348,68.61,0.6,0.88
349,69.99,0.6,0.88
350,78.49,0.6,0.88
351,75.57,0.6,0.88
352,69.9,0.63,0.92
353,70.52,0.8,1.18
354,65.7,0.99,1.46
355,70.79,1.07,1.57
356,76.83,1.16,1.7
357,86.32,1.2,1.76
358,91.53,1.45,2.13
359,98.28,1.37,2.01
360,96.57,1.2,1.76
361,87.44,1.22,1.78
362,92.57,1.07,1.57
363,98.94,1.22,1.79
364,89.56,1.4,2.06
365,79.08,1.69,2.48
366,83.52,1.85,2.71
367,69.1,2.05,3.0
368,67.86,2.0,2.93
369,70.5,1.72,2.53
370,68.75,1.88,2.75
371,67.87,2.07,3.03
372,70.85,1.79,2.62
373,77.42,1.47,2.16
374,74.76,1.61,2.35
375,71.93,1.17,1.72
376,76.07,1.14,1.67
377,75.82,1.22,1.78
378,77.06,1.16,1.7
379,74.67,1.14,1.67
380,67.49,1.23,1.8
381,60.27,1.42,2.09
382,59.62,1.34,1.97
383,59.56,1.26,1.84
384,57.28,1.38,2.03
385,63.31,1.37,2.02
386,70.66,1.41,2.07
387,69.77,1.34,1.97
388,74.53,1.12,1.65
389,76.2,0.91,1.33
390,76.04,0.89,1.3
391,77.52,0.89,1.3
392,87.62,0.82,1.2
393,95.42,1.0,1.47
394,87.94,1.22,1.79
395,82.08,1.19,1.75
396,76.44,1.34,1.96
397,78.04,1.39,2.03
398,77.06,1.38,2.03
399,77.22,1.43,2.09
400,75.88,1.73,2.54
401,74.57,1.96,2.88
402,73.97,1.74,2.55
403,76.15,1.56,2.29
404,80.35,1.39,2.04
405,86.02,1.44,2.11
406,88.73,1.41,2.07
